date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,city
2012-10-04 23:00:00,,142,26,3,170,1,1,291.12,0.0,0.0,75,Clouds,broken clouds,1166,Bangalore
2012-10-05 00:00:00,,79,26,3,200,6,6,290.63,0.0,0.0,75,Clouds,broken clouds,627,Switzerland
2012-10-05 01:00:00,,128,30,3,180,9,9,290.46,0.0,0.0,40,Clouds,scattered clouds,388,Bangalore
2012-10-05 03:00:00,,148,34,2,150,4,4,289.26,0.0,0.0,0,Clear,sky is clear,368,London
2012-10-05 05:00:00,,252,41,2,140,7,7,283.21,0.0,0.0,75,Clouds,broken clouds,2489,Bangalore
2012-10-05 06:00:00,,190,47,3,140,3,3,282.24,0.0,0.0,90,Clouds,overcast clouds,5537,London
2012-10-05 07:00:00,,192,47,2,160,9,9,281.69,0.0,0.0,90,Clouds,overcast clouds,6628,Bangalore
2012-10-05 08:00:00,,59,47,2,160,9,9,280.57,0.0,0.0,90,Clouds,overcast clouds,5534,Toronto
2012-10-05 09:00:00,,190,54,2,130,6,6,280.02,0.0,0.0,75,Clouds,broken clouds,5403,London
2012-10-05 10:00:00,,134,71,0,0,5,5,280.11,0.0,0.0,75,Clouds,broken clouds,4770,Seoul
2012-10-05 11:00:00,,240,58,2,110,8,8,280.0,0.0,0.0,90,Clouds,overcast clouds,5217,Seoul
2012-10-05 12:00:00,,12,76,2,150,9,9,280.53,0.0,0.0,90,Clouds,overcast clouds,5870,Toronto
2012-10-05 13:00:00,,182,71,3,110,5,5,281.43,0.0,0.0,75,Clouds,broken clouds,5967,Seoul
2012-10-05 14:00:00,,90,71,1,110,5,5,281.78,0.0,0.0,90,Clouds,overcast clouds,6108,London
2012-10-05 15:00:00,,284,76,2,110,3,3,281.91,0.0,0.0,90,Clouds,overcast clouds,6128,Bangalore
2012-10-05 16:00:00,,228,76,2,120,2,2,281.73,0.0,0.0,90,Clouds,overcast clouds,6069,Seoul
2012-10-05 17:00:00,,149,71,1,110,9,9,281.42,0.0,0.0,90,Clouds,overcast clouds,6169,Switzerland
2012-10-05 18:00:00,,72,54,0,0,8,8,280.87,0.0,0.0,90,Clouds,overcast clouds,5384,Toronto
2012-10-05 19:00:00,,36,45,2,160,2,2,280.15,0.0,0.0,90,Clouds,overcast clouds,4063,Switzerland
2012-10-05 20:00:00,,205,35,2,0,6,6,279.78,0.0,0.0,90,Clouds,overcast clouds,3364,London
2012-10-05 21:00:00,,161,27,4,160,9,9,279.65,0.0,0.0,75,Clouds,broken clouds,2971,Switzerland
2012-10-05 22:00:00,,261,25,4,180,4,4,279.22,0.0,0.0,40,Clouds,scattered clouds,2450,Toronto
2012-10-05 23:00:00,,257,25,4,160,4,4,279.06,0.0,0.0,40,Clouds,scattered clouds,1832,Toronto
2012-10-06 00:00:00,,163,23,5,150,6,6,278.81,0.0,0.0,90,Clouds,overcast clouds,1231,London
2012-10-06 01:00:00,,219,23,5,160,4,4,278.55,0.0,0.0,90,Clouds,overcast clouds,718,London
2012-10-06 02:00:00,,31,25,4,150,7,7,278.59,0.0,0.0,90,Clouds,overcast clouds,545,Switzerland
2012-10-06 04:00:00,,79,32,2,140,9,9,276.99,0.0,0.0,75,Clouds,broken clouds,411,Seoul
2012-10-06 05:00:00,,28,30,3,130,7,7,276.35,0.0,0.0,20,Clouds,few clouds,688,Bangalore
2012-10-06 06:00:00,,110,37,3,130,1,1,275.4,0.0,0.0,1,Clear,sky is clear,1352,London
2012-10-06 07:00:00,,171,42,3,140,9,9,275.17,0.0,0.0,1,Clear,sky is clear,2072,London
2012-10-06 08:00:00,,148,45,5,140,3,3,274.99,0.0,0.0,1,Clear,sky is clear,3342,Toronto
2012-10-06 09:00:00,,97,45,5,140,2,2,275.09,0.0,0.0,40,Clouds,scattered clouds,4258,Switzerland
2012-10-06 10:00:00,,46,48,5,140,2,2,276.88,0.0,0.0,20,Clouds,few clouds,4861,Toronto
2012-10-06 11:00:00,,180,24,2,194,7,7,278.04,0.0,0.0,20,Clouds,few clouds,5191,Toronto
2012-10-06 12:00:00,,269,24,0,248,6,6,279.08,0.0,0.0,40,Clouds,scattered clouds,5669,Seoul
2012-10-06 13:00:00,,280,31,4,239,6,6,280.12,0.0,0.0,75,Clouds,broken clouds,5074,London
2012-10-06 14:00:00,,264,62,9,230,7,7,280.25,0.0,0.0,75,Clouds,broken clouds,5025,Bangalore
2012-10-06 15:00:00,,149,70,5,240,5,5,280.0,0.0,0.0,75,Clouds,broken clouds,5153,Seoul
2012-10-06 16:00:00,,77,70,9,240,5,5,279.06,0.0,0.0,90,Clouds,overcast clouds,5024,Seoul
2012-10-06 17:00:00,,77,70,8,250,1,1,278.91,0.0,0.0,90,Clouds,overcast clouds,4779,Seoul
2012-10-06 18:00:00,,178,70,7,250,1,1,278.39,0.0,0.0,90,Clouds,overcast clouds,4362,London
2012-10-06 19:00:00,,114,61,9,250,8,8,278.16,0.0,0.0,90,Clouds,overcast clouds,3860,Switzerland
2012-10-06 20:00:00,,67,65,9,260,2,2,278.16,0.0,0.0,90,Clouds,overcast clouds,3160,Switzerland
2012-10-06 21:00:00,,196,70,8,250,1,1,277.93,0.0,0.0,90,Clouds,overcast clouds,2992,Seoul
2012-10-06 22:00:00,,65,70,10,270,5,5,276.9,0.0,0.0,90,Clouds,overcast clouds,3202,Toronto
2012-10-06 23:00:00,,13,70,12,260,5,5,276.34,0.0,0.0,75,Clouds,broken clouds,1941,Toronto
2012-10-07 00:00:00,,294,70,10,260,2,2,276.11,0.0,0.0,75,Clouds,broken clouds,1233,Switzerland
2012-10-07 03:00:00,,26,70,12,270,6,6,275.73,0.0,0.0,90,Clouds,overcast clouds,323,Bangalore
2012-10-07 04:00:00,,246,70,8,260,7,7,275.65,0.0,0.0,90,Clouds,overcast clouds,312,Switzerland
2012-10-07 05:00:00,,259,70,7,270,4,4,275.51,0.0,0.0,75,Clouds,broken clouds,627,Bangalore
2012-10-07 06:00:00,,33,52,8,280,9,9,275.05,0.0,0.0,90,Clouds,overcast clouds,1508,Switzerland
2012-10-07 07:00:00,,125,52,8,290,3,3,274.77,0.0,0.0,90,Clouds,overcast clouds,1539,London
2012-10-07 08:00:00,,247,52,5,280,9,9,274.77,0.0,0.0,75,Clouds,broken clouds,2232,London
2012-10-07 09:00:00,,178,56,7,290,7,7,275.55,0.0,0.0,75,Clouds,broken clouds,4568,London
2012-10-07 10:00:00,,297,56,8,280,7,7,276.24,0.0,0.0,75,Clouds,broken clouds,4624,Seoul
2012-10-07 11:00:00,,250,56,7,290,1,1,277.01,0.0,0.0,90,Clouds,overcast clouds,4529,Seoul
2012-10-07 12:00:00,,299,56,9,270,5,5,277.43,0.0,0.0,90,Clouds,overcast clouds,5139,Bangalore
2012-10-07 13:00:00,,260,56,8,270,5,5,278.45,0.0,0.0,90,Clouds,overcast clouds,6640,Seoul
2012-10-07 14:00:00,,174,28,8,275,8,8,279.27,0.0,0.0,90,Clouds,overcast clouds,6589,Switzerland
2012-10-07 15:00:00,,150,56,9,280,1,1,279.27,0.0,0.0,90,Clouds,overcast clouds,4429,Bangalore
2012-10-07 16:00:00,,129,60,7,280,7,7,279.44,0.0,0.0,90,Clouds,overcast clouds,4329,London
2012-10-07 17:00:00,,170,64,6,270,5,5,279.32,0.0,0.0,90,Clouds,overcast clouds,3833,London
2012-10-07 18:00:00,,114,69,5,260,4,4,279.27,0.0,0.0,90,Clouds,overcast clouds,4015,London
2012-10-07 19:00:00,,101,80,4,260,1,1,278.11,0.0,0.0,90,Clouds,overcast clouds,3382,Bangalore
2012-10-07 20:00:00,,213,80,5,250,2,2,276.79,0.0,0.0,75,Clouds,broken clouds,2815,Toronto
2012-10-07 21:00:00,,49,60,7,280,4,4,275.73,0.0,0.0,90,Clouds,overcast clouds,2110,London
2012-10-07 22:00:00,,63,56,8,260,5,5,274.88,0.0,0.0,75,Clouds,broken clouds,1555,Seoul
2012-10-07 23:00:00,,98,45,8,290,9,9,273.92,0.0,0.0,20,Clouds,few clouds,959,Toronto
2012-10-08 00:00:00,Columbus Day,144,45,9,300,5,5,273.08,0.0,0.0,20,Clouds,few clouds,455,Switzerland
2012-10-08 01:00:00,,11,42,7,290,6,6,272.62,0.0,0.0,20,Clouds,few clouds,336,Bangalore
2012-10-08 02:00:00,,106,42,8,280,7,7,271.78,0.0,0.0,1,Clear,sky is clear,265,Toronto
2012-10-08 03:00:00,,65,45,10,310,8,8,271.05,0.0,0.0,1,Clear,sky is clear,314,London
2012-10-08 04:00:00,,133,48,7,300,6,6,270.63,0.0,0.0,1,Clear,sky is clear,779,Toronto
2012-10-08 05:00:00,,194,48,8,290,2,2,270.33,0.0,0.0,1,Clear,sky is clear,2571,Bangalore
2012-10-08 06:00:00,,134,52,6,290,6,6,269.61,0.0,0.0,20,Clouds,few clouds,5563,London
2012-10-08 07:00:00,,273,52,8,280,9,9,270.01,0.0,0.0,20,Clouds,few clouds,6676,Switzerland
2012-10-08 08:00:00,,200,56,7,300,4,4,271.23,0.0,0.0,20,Clouds,few clouds,5966,Bangalore
2012-10-08 09:00:00,,224,55,8,310,6,6,273.71,0.0,0.0,20,Clouds,few clouds,4832,Switzerland
2012-10-08 10:00:00,,230,55,6,300,4,4,276.77,0.0,0.0,20,Clouds,few clouds,4395,Bangalore
2012-10-08 11:00:00,,208,59,5,300,7,7,279.47,0.0,0.0,20,Clouds,few clouds,4411,London
2012-10-08 12:00:00,,183,62,5,300,1,1,279.84,0.0,0.0,1,Clear,sky is clear,4648,Seoul
2012-10-08 13:00:00,,226,65,5,300,1,1,282.34,0.0,0.0,40,Clouds,scattered clouds,4602,London
2012-10-08 14:00:00,,215,69,5,300,9,9,282.94,0.0,0.0,40,Clouds,scattered clouds,5125,Toronto
2012-10-08 15:00:00,,76,69,7,310,1,1,283.48,0.0,0.0,1,Clear,sky is clear,5502,Switzerland
2012-10-08 16:00:00,,183,69,5,320,5,5,284.33,0.0,0.0,1,Clear,sky is clear,5979,Toronto
2012-10-08 17:00:00,,87,69,6,330,9,9,284.48,0.0,0.0,40,Clouds,scattered clouds,5663,Bangalore
2012-10-08 18:00:00,,51,74,4,320,1,1,284.23,0.0,0.0,40,Clouds,scattered clouds,4259,Switzerland
2012-10-08 19:00:00,,73,74,4,330,8,8,281.99,0.0,0.0,20,Clouds,few clouds,3069,Bangalore
2012-10-08 20:00:00,,208,69,5,330,6,6,279.81,0.0,0.0,1,Clear,sky is clear,2378,Toronto
2012-10-08 21:00:00,,99,64,4,340,5,5,279.35,0.0,0.0,1,Clear,sky is clear,2030,Bangalore
2012-10-08 22:00:00,,16,55,6,340,5,5,278.9,0.0,0.0,1,Clear,sky is clear,1400,London
2012-10-08 23:00:00,,272,59,5,330,8,8,278.46,0.0,0.0,1,Clear,sky is clear,917,London
2012-10-09 00:00:00,,131,41,4,340,8,8,277.78,0.0,0.0,1,Clear,sky is clear,515,Switzerland
2012-10-09 01:00:00,,173,41,4,350,1,1,277.27,0.0,0.0,1,Clear,sky is clear,302,Toronto
2012-10-09 02:00:00,,125,41,4,310,9,9,277.47,0.0,0.0,1,Clear,sky is clear,251,Switzerland
2012-10-09 04:00:00,,22,45,2,320,8,8,276.97,0.0,0.0,20,Clouds,few clouds,798,London
2012-10-09 05:00:00,,29,41,5,350,7,7,276.52,0.0,0.0,40,Clouds,scattered clouds,2678,Bangalore
2012-10-09 06:00:00,,210,38,3,350,8,8,276.6,0.0,0.0,40,Clouds,scattered clouds,5733,London
2012-10-09 07:00:00,,263,38,2,360,4,4,277.31,0.0,0.0,75,Clouds,broken clouds,6449,London
2012-10-09 08:00:00,,95,41,1,290,6,6,278.38,0.0,0.0,90,Clouds,overcast clouds,5765,Seoul
2012-10-09 09:00:00,,189,48,1,270,3,3,279.35,0.0,0.0,90,Clouds,overcast clouds,5599,Toronto
2012-10-09 10:00:00,,246,51,1,250,2,2,281.37,0.0,0.0,90,Clouds,overcast clouds,4534,Toronto
2012-10-09 11:00:00,,70,59,0,0,4,4,283.11,0.0,0.0,90,Clouds,overcast clouds,4691,Toronto
2012-10-09 12:00:00,,224,64,1,250,8,8,284.08,0.0,0.0,75,Clouds,broken clouds,5067,Toronto
2012-10-09 13:00:00,,224,69,0,0,4,4,285.14,0.0,0.0,75,Clouds,broken clouds,5030,Seoul
2012-10-09 14:00:00,,99,69,0,0,1,1,286.35,0.0,0.0,90,Clouds,overcast clouds,5300,London
2012-10-09 15:00:00,,105,69,1,220,6,6,287.23,0.0,0.0,100,Rain,light rain,5777,Bangalore
2012-10-09 16:00:00,,70,80,1,200,1,1,288.53,0.0,0.0,90,Clouds,overcast clouds,6349,Bangalore
2012-10-09 17:00:00,,65,79,1,200,8,8,290.37,0.0,0.0,90,Clouds,overcast clouds,6127,London
2012-10-09 18:00:00,,229,79,1,200,6,6,290.13,0.0,0.0,90,Clouds,overcast clouds,4460,Bangalore
2012-10-09 19:00:00,,103,74,2,230,6,6,288.86,0.0,0.0,75,Clouds,broken clouds,3418,Switzerland
2012-10-09 20:00:00,,49,74,0,0,4,4,287.36,0.0,0.0,90,Clouds,overcast clouds,2775,London
2012-10-09 21:00:00,,257,74,3,220,1,1,285.11,0.0,0.0,90,Clouds,overcast clouds,2306,London
2012-10-09 22:00:00,,226,51,5,230,2,2,283.46,0.0,0.0,90,Clouds,overcast clouds,1846,Toronto
2012-10-09 23:00:00,,163,44,4,230,4,4,282.45,0.0,0.0,90,Clouds,overcast clouds,947,Switzerland
2012-10-10 00:00:00,,71,42,3,220,7,7,281.88,0.0,0.0,90,Clouds,overcast clouds,494,London
2012-10-10 01:00:00,,249,31,4,230,3,3,281.78,0.0,0.0,90,Clouds,overcast clouds,332,Bangalore
2012-10-10 02:00:00,,199,27,5,220,1,1,281.09,0.0,0.0,75,Clouds,broken clouds,261,London
2012-10-10 03:00:00,,155,31,4,210,5,5,281.17,0.0,0.0,90,Clouds,overcast clouds,361,Seoul
2012-10-10 06:00:00,,19,25,4,210,3,3,281.25,0.0,0.0,92,Clear,sky is clear,5875,Toronto
2012-10-10 07:00:00,,139,21,6,220,2,2,281.25,0.0,0.0,99,Rain,light rain,6793,London
2012-10-10 07:00:00,,69,23,3,220,3,3,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,6793,London
2012-10-10 08:00:00,,184,27,2,170,2,2,280.1,0.0,0.0,99,Rain,light rain,6283,Seoul
2012-10-10 08:00:00,,82,33,3,150,7,7,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,6283,Switzerland
2012-10-10 09:00:00,,248,33,3,160,3,3,279.61,0.0,0.0,99,Rain,light rain,5680,Bangalore
2012-10-10 09:00:00,,188,36,3,170,6,6,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,5680,Bangalore
2012-10-10 10:00:00,,76,39,3,170,2,2,279.67,0.0,0.0,99,Clear,sky is clear,4632,Toronto
2012-10-10 11:00:00,,90,45,2,130,2,2,280.19,0.0,0.0,1,Clear,sky is clear,4887,Toronto
2012-10-10 12:00:00,,86,51,2,140,3,3,282.09,0.0,0.0,75,Clouds,broken clouds,5030,Bangalore
2012-10-10 13:00:00,,257,42,2,200,7,7,282.26,0.0,0.0,75,Clouds,broken clouds,5067,Switzerland
2012-10-10 14:00:00,,204,45,2,195,9,9,282.05,0.0,0.0,90,Clouds,overcast clouds,5227,Seoul
2012-10-10 15:00:00,,77,48,3,190,2,2,281.59,0.0,0.0,90,Clouds,overcast clouds,5610,Toronto
2012-10-10 16:00:00,,65,52,2,190,2,2,281.23,0.0,0.0,81,Clear,sky is clear,6286,Toronto
2012-10-10 18:00:00,,108,52,2,180,8,8,282.6,0.0,0.0,81,Clear,sky is clear,4775,Switzerland
2012-10-10 19:00:00,,279,56,2,190,8,8,282.6,0.0,0.0,81,Clear,sky is clear,3340,Switzerland
2012-10-10 20:00:00,,85,52,3,170,7,7,282.6,0.0,0.0,81,Clear,sky is clear,3013,Seoul
2012-10-10 21:00:00,,75,52,2,170,6,6,282.6,0.0,0.0,81,Clear,sky is clear,2603,Switzerland
2012-10-10 22:00:00,,42,49,3,150,9,9,282.6,0.0,0.0,81,Clear,sky is clear,1910,Toronto
2012-10-10 23:00:00,,278,43,4,180,5,5,282.6,0.0,0.0,81,Clear,sky is clear,1037,Toronto
2012-10-11 01:00:00,,39,43,4,180,4,4,273.9,0.0,0.0,1,Clear,sky is clear,347,Bangalore
2012-10-11 03:00:00,,35,43,5,170,4,4,274.4,0.0,0.0,75,Clouds,broken clouds,350,Bangalore
2012-10-11 04:00:00,,219,43,4,180,8,8,274.05,0.0,0.0,75,Clouds,broken clouds,850,Seoul
2012-10-11 05:00:00,,278,41,5,200,5,5,273.71,0.0,0.0,40,Clouds,scattered clouds,2791,Seoul
2012-10-11 06:00:00,,132,41,4,200,6,6,272.66,0.0,0.0,1,Clear,sky is clear,5809,Bangalore
2012-10-11 07:00:00,,42,27,5,210,1,1,272.65,0.0,0.0,1,Clear,sky is clear,6798,Bangalore
2012-10-11 08:00:00,,152,31,4,260,8,8,272.52,0.0,0.0,1,Clear,sky is clear,6304,Switzerland
2012-10-11 09:00:00,,154,36,6,280,8,8,275.19,0.0,0.0,20,Clouds,few clouds,5291,Toronto
2012-10-11 10:00:00,,271,44,6,280,9,9,275.34,0.0,0.0,1,Clear,sky is clear,4638,Bangalore
2012-10-11 14:00:00,,14,47,7,300,8,8,284.1,0.0,0.0,50,Clear,sky is clear,5557,Switzerland
2012-10-11 15:00:00,,170,54,7,300,1,1,284.1,0.0,0.0,50,Clear,sky is clear,5818,Toronto
2012-10-11 16:00:00,,153,53,2,290,2,2,283.78,0.0,0.0,75,Clouds,broken clouds,6272,Seoul
2012-10-11 17:00:00,,161,57,1,230,9,9,283.52,0.0,0.0,75,Clouds,broken clouds,5944,Bangalore
2012-10-11 18:00:00,,14,57,2,220,3,3,283.32,0.0,0.0,90,Clouds,overcast clouds,4949,Toronto
2012-10-11 19:00:00,,204,61,1,220,7,7,282.06,0.0,0.0,90,Clouds,overcast clouds,3511,London
2012-10-11 20:00:00,,134,61,3,220,6,6,281.95,0.0,0.0,90,Clouds,overcast clouds,3039,Seoul
2012-10-11 21:00:00,,85,63,2,253,5,5,281.81,0.0,0.0,90,Clouds,overcast clouds,2679,Switzerland
2012-10-11 22:00:00,,178,65,1,286,3,3,282.16,0.0,0.0,90,Clouds,overcast clouds,2094,Seoul
2012-10-11 23:00:00,,226,68,0,320,4,4,282.53,0.0,0.0,90,Clouds,overcast clouds,1284,Seoul
2012-10-12 00:00:00,,192,66,3,260,6,6,283.91,0.0,0.0,90,Clouds,overcast clouds,630,London
2012-10-12 01:00:00,,122,65,7,310,6,6,284.64,0.0,0.0,90,Clouds,overcast clouds,410,Toronto
2012-10-12 02:00:00,,285,87,4,280,3,3,284.61,0.0,0.0,90,Clouds,overcast clouds,331,Bangalore
2012-10-12 03:00:00,,187,75,3,217,6,6,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,372,Bangalore
2012-10-12 04:00:00,,134,75,5,260,8,8,282.26,0.0,0.0,72,Rain,light rain,739,Bangalore
2012-10-12 05:00:00,,208,57,7,270,7,7,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2561,Toronto
2012-10-12 06:00:00,,147,39,9,270,1,1,278.53,0.0,0.0,75,Clouds,broken clouds,5586,London
2012-10-12 07:00:00,,227,42,6,290,1,1,277.64,0.0,0.0,75,Clouds,broken clouds,6992,Switzerland
2012-10-12 08:00:00,,177,42,6,270,8,8,277.9,0.0,0.0,90,Clouds,overcast clouds,5860,Seoul
2012-10-12 09:00:00,,143,49,4,313,9,9,278.18,0.0,0.0,90,Clouds,overcast clouds,5230,Switzerland
2012-10-12 10:00:00,,170,47,5,305,8,8,279.29,0.0,0.0,75,Clouds,broken clouds,4864,Toronto
2012-10-12 11:00:00,,281,45,7,297,4,4,280.45,0.0,0.0,75,Clouds,broken clouds,5146,Switzerland
2012-10-12 12:00:00,,289,45,7,297,4,4,280.95,0.0,0.0,40,Clouds,scattered clouds,5526,Switzerland
2012-10-12 13:00:00,,257,45,7,297,3,3,281.74,0.0,0.0,40,Clouds,scattered clouds,5383,Bangalore
2012-10-12 14:00:00,,231,45,7,297,7,7,281.84,0.0,0.0,75,Clouds,broken clouds,5758,Seoul
2012-10-12 15:00:00,,181,45,7,297,1,1,282.45,0.0,0.0,75,Clouds,broken clouds,5889,Toronto
2012-10-12 16:00:00,,268,45,7,297,1,1,282.2,0.0,0.0,75,Clouds,broken clouds,6057,Seoul
2012-10-12 17:00:00,,265,57,5,288,2,2,281.54,0.0,0.0,40,Clouds,scattered clouds,6028,London
2012-10-12 18:00:00,,177,69,3,280,4,4,280.21,0.0,0.0,20,Clouds,few clouds,5257,Seoul
2012-10-12 23:00:00,,129,66,4,285,1,1,282.2,0.0,0.0,56,Clear,sky is clear,1897,Switzerland
